No;TypeThe;SorteThe;PoidsContenu_g;PoidsTotal _g;PoidsSac_g;Poids_Restant_g;Producteur;Champs;Regie;TypeAzote;DoseN;Repetition;Teneur_C_Initial_g;Teneur_N_Initial_g;Teneur_S_Initial_g;Pourcentage_C_Final;Teneur_C_Final_g;Pourcentage_N_Final;Teneur_N_Final_g;Pourcentage_S_Final;Teneur_S_Final_g;Difference_C_Total_g;Difference_N_Total_g;Difference_S_Total_g;GreenTMoy_C;GreenTMoy_N;GreenTMoy_S
761;S;Rooibos;1,916;2,275;0,359;1,345;Fortier;45;conventionel;Nproducteur;;2;0,915688333;0,019926826;0,001728658;45,947;0,61798715;0,88188;0,011861286;0,085;0,00114325;0,297701183;0,00806554;0,000585408;;;
762;S;Rooibos;1,925;2,283;0,358;1,516;Fortier;45;conventionel;Nproducteur;;1;0,919989583;0,020020428;0,001736778;45,946;0,69654136;1,0491;0,015904356;0,084;0,00127344;0,223448223;0,004116072;0,000463338;;;
763;S;Rooibos;1,928;2,285;0,36;1,472;Fortier;45;conventionel;Nproducteur;;1;0,921423333;0,020051628;0,001739484;46,126;0,67897472;0,96534;0,014209805;0,0994;0,001463168;0,242448613;0,005841824;0,000276316;;;
764;S;Rooibos;1,892;2,259;0,365;;Fortier;45;conventionel;Nproducteur;;1;0,904218333;0,01967722;0,001707004;;;;;;;;;;;;
765;S;Rooibos;1,926;2,28;0,355;1,419;Fortier;45;conventionel;Nproducteur;;2;0,9204675;0,020030828;0,00173768;46,09;0,6540171;0,946;0,01342374;0,0945;0,001340955;0,2664504;0,006607088;0,000396725;;;
766;S;Rooibos;1,889;2,247;0,358;1,386;Fortier;45;conventionel;Nproducteur;;2;0,902784583;0,01964602;0,001704298;47,025;0,6517665;1,1066;0,015337476;0,096;0,00133056;0,251018083;0,004308544;0,000373738;;;
451;N;ResidusCanneberge;1,926;2,283;0,356;1,861;Fortier;45;conventionel;N;0;1;0,96363558;0,017367127;0,001457982;49,369;0,91875709;0,78044;0,014523988;0,078;0,00145158;0,04487849;0,002843139;6,402E-06;;;
452;N;ResidusCanneberge;1,916;2,28;0,363;1,863;Fortier;45;conventionel;N;0;1;0,95863228;0,017276955;0,001450412;50,131;0,93394053;0,75369;0,014041245;0,0651;0,001212813;0,02469175;0,003235711;0,000237599;;;
453;N;ResidusCanneberge;1,931;2,298;0,365;1,548;Fortier;45;conventionel;N;0;1;0,96613723;0,017412213;0,001461767;50,093;0,77543964;0,81469;0,012611401;0,0762;0,001179576;0,19069759;0,004800812;0,000282191;;;
454;N;ResidusCanneberge;1,932;2,297;0,363;1,926;Fortier;45;conventionel;N;0;2;0,96663756;0,01742123;0,001462524;49,613;0,95554638;0,76481;0,014730241;0,0758;0,001459908;0,01109118;0,00269099;2,616E-06;;;
455;N;ResidusCanneberge;1,906;2,279;0,373;1,8;Fortier;45;conventionel;N;0;2;0,95362898;0,017186783;0,001442842;49,254;0,886572;0,82383;0,01482894;0,0898;0,0016164;0,06705698;0,002357843;-0,000173558;;;
456;N;ResidusCanneberge;1,893;2,252;0,359;1,793;Fortier;45;conventionel;N;0;2;0,94712469;0,01706956;0,001433001;47,728;0,85576304;0,77914;0,01396998;0,0794;0,001423642;0,09136165;0,003099579;9,359E-06;;;
457;N;ResidusCanneberge;1,925;2,3;0,373;1,883;Fortier;45;conventionel;N;15;1;0,96313525;0,01735811;0,001457225;49,401;0,93022083;0,7495;0,014113085;0,0806;0,001517698;0,03291442;0,003245025;-6,0473E-05;;;
458;N;ResidusCanneberge;1,895;2,258;0,362;1,827;Fortier;45;conventionel;N;15;1;0,94812535;0,017087594;0,001434515;48,859;0,89265393;0,79299;0,014487927;0,084;0,00153468;0,05547142;0,002599667;-0,000100165;;;
459;N;ResidusCanneberge;1,929;2,293;0,362;1,858;Fortier;45;conventionel;N;15;1;0,96513657;0,017394179;0,001460253;50,351;0,93552158;0,78587;0,014601465;0,0777;0,001443666;0,02961499;0,002792714;1,6587E-05;;;
460;N;ResidusCanneberge;1,919;2,283;0,362;1,833;Fortier;45;conventionel;N;15;2;0,96013327;0,017304007;0,001452683;49,272;0,90315576;0,76349;0,013994772;0,0717;0,001314261;0,05697751;0,003309235;0,000138422;;;
461;N;ResidusCanneberge;1,923;2,287;0,366;1,841;Fortier;45;conventionel;N;15;2;0,96213459;0,017340076;0,001455711;49,418;0,90978538;0,76398;0,014064872;0,0678;0,001248198;0,05234921;0,003275204;0,000207513;;;
462;N;ResidusCanneberge;1,924;2,286;0,365;1,856;Fortier;45;conventionel;N;15;2;0,96263492;0,017349093;0,001456468;48,468;0,89956608;0,79769;0,014805126;0,0735;0,00136416;0,06306884;0,002543966;9,2308E-05;;;
463;N;ResidusCanneberge;1,891;2,252;0,36;1,815;Fortier;45;conventionel;N;30;1;0,94612403;0,017051525;0,001431487;49,181;0,89263515;0,78571;0,014260637;0,0789;0,001432035;0,05348888;0,002790889;-5,48E-07;;;
464;N;ResidusCanneberge;1,922;2,293;0,37;2,131;Fortier;45;conventionel;N;30;1;0,96163426;0,017331058;0,001454954;44,097;0,93970707;0,71374;0,015209799;0,0741;0,001579071;0,02192719;0,002121259;-0,000124117;;;
465;N;ResidusCanneberge;1,905;2,27;0,363;1,798;Fortier;45;conventionel;N;30;1;0,95312865;0,017177766;0,001442085;49,625;0,8922575;0,78517;0,014117357;0,069;0,00124062;0,06087115;0,003060409;0,000201465;;;
466;N;ResidusCanneberge;1,918;2,287;0,369;1,791;Fortier;45;conventionel;N;30;2;0,95963294;0,01729499;0,001451926;49,171;0,88065261;0,77354;0,013854101;0,0716;0,001282356;0,07898033;0,003440888;0,00016957;;;
467;N;ResidusCanneberge;1,886;2,251;0,366;2,091;Fortier;45;conventionel;N;30;2;0,94362238;0,017006439;0,001427702;40,626;0,84948966;0,63584;0,013295414;0,0688;0,001438608;0,09413272;0,003711025;-1,0906E-05;;;
468;N;ResidusCanneberge;1,889;2,256;0,367;1,837;Fortier;45;conventionel;N;30;2;0,94512337;0,017033491;0,001429973;47,785;0,87781045;0,822;0,01510014;0,0765;0,001405305;0,06731292;0,001933351;0,000024668;;;
469;N;ResidusCanneberge;1,927;2,29;0,361;1,808;Fortier;45;conventionel;N;45;1;0,96413591;0,017376144;0,001458739;49,319;0,89168752;0,79053;0,014292782;0,0783;0,001415664;0,07244839;0,003083362;4,3075E-05;;;
