"","PertePoids","Sorte_The","Initial_Poids_Echantillon_g","Final_Poids_Echantillon_g","Producteur","Prelevement","Site","DoseRepPrel"
"245",-0.00269841269841275,"Residus_Canneberges",1.89,1.8951,"Belanger",3,"A9","79.98256_1_A9_3"
"246",0.0209057398630859,"Residus_Canneberges",1.899,1.8593,"Belanger",3,"A9","79.98256_1_A9_3"
"247",0.00363732208750666,"Residus_Canneberges",1.897,1.8901,"Belanger",3,"A9","79.98256_1_A9_3"
"248",0.0107420861442657,"Residus_Canneberges",1.927,1.9063,"Belanger",3,"A9","79.98256_2_A9_3"
"249",0.0203460933403251,"Residus_Canneberges",1.907,1.8682,"Belanger",3,"A9","79.98256_2_A9_3"
"250",0.00549102428722279,"Residus_Canneberges",1.894,1.8836,"Belanger",3,"A9","79.98256_2_A9_3"
"251",0.0080586080586081,"Residus_Canneberges",1.911,1.8956,"Belanger",3,"A9","79.98256_2_A9_3"
"252",-0.0033492822966507,"Residus_Canneberges",1.881,1.8873,"Belanger",3,"A9","79.98256_2_A9_3"
"253",0.0138655462184874,"Residus_Canneberges",1.904,1.8776,"Belanger",3,"A9","79.98256_2_A9_3"
"254",0.0250797024442082,"Residus_Canneberges",1.882,1.8348,"Belanger",3,"A9","79.98256_2_A9_3"
