"","No","Tea type abbr","Tea type","Initial tea weight (g)","Initial total weight (g)","Initial bag weight (g)","Remaining tea weight (g)","Farm","Site","Farming system","Nitrogen type","Nitrogen dose","Repetition","Remaining C (%)","Remaining N (%)","Remaining S (%)","Initial C fraction"
"125",850,"G","Green tea",1.768,2.124,0.356,0.753,"Fortier","45","Conventional","N-21-0-0",45,2,51.906,4.5151,0.28,0.848545707
"126",851,"G","Green tea",1.763,2.123,0.36,0.738,"Fortier","45","Conventional","N-21-0-0",45,2,50.547,4.0679,0.256,0.846145973
"127",852,"G","Green tea",1.795,2.164,0.368,0.805,"Fortier","45","Conventional","N-21-0-0",45,2,51.647,4.8294,0.299,0.861504267
"128",853,"G","Green tea",1.772,2.131,0.357,0.754,"Fortier","45","Conventional","N-21-0-0",60,1,50.239,4.7838,0.293,0.850465493
"129",854,"G","Green tea",1.794,2.145,0.353,0.796,"Fortier","45","Conventional","N-21-0-0",60,1,50.191,4.0365,0.264,0.86102432
"130",855,"G","Green tea",1.772,2.131,0.359,0.781,"Fortier","45","Conventional","N-21-0-0",60,1,50.945,4.421,0.269,0.850465493
"131",856,"G","Green tea",1.764,2.118,0.354,0.817,"Fortier","45","Conventional","N-21-0-0",60,2,44.363,3.7301,0.33,0.84662592
"132",857,"G","Green tea",1.773,2.128,0.352,0.717,"Fortier","45","Conventional","N-21-0-0",60,2,50.583,3.6961,0.285,0.85094544
"133",858,"G","Green tea",1.771,2.132,0.359,0.869,"Fortier","45","Conventional","N-21-0-0",60,2,48.501,4.4927,0.27,0.849985547
"134",1243,"G","Green tea",1.778,2.135,0.358,0.619,"Fortier","9","Conventional","N-SCU",30,2,50.781,4.4079,0.249,0.853345173
"135",1244,"G","Green tea",1.797,2.159,0.362,0.675,"Fortier","9","Conventional","N-SCU",30,2,47.013,4.0061,0.245,0.86246416
"136",1245,"G","Green tea",1.804,2.165,0.361,0.64,"Fortier","9","Conventional","N-SCU",45,2,48.548,3.894,0.248,0.865823787
"137",1246,"G","Green tea",1.79,2.149,0.36,0.636,"Fortier","9","Conventional","N-SCU",45,2,50.534,3.9981,0.261,0.859104533
"138",1247,"G","Green tea",1.779,2.138,0.359,0.687,"Fortier","9","Conventional","N-SCU",60,2,47.355,4.6058,0.265,0.85382512
"139",1248,"G","Green tea",1.75,2.104,0.354,0.63,"Fortier","9","Conventional","N-SCU",60,2,48.63,4.638,0.276,0.839906667
"140",403,"S","Rooibos tea",1.919,2.28,0.361,1.557,"Fortier","9","Conventional","N-21-0-0",30,1,46.514,0.87969,0.0308,0.917122083
"141",404,"S","Rooibos tea",1.905,2.261,0.355,1.319,"Fortier","9","Conventional","N-21-0-0",30,1,46.157,0.78784,0.0335,0.91043125
"142",405,"S","Rooibos tea",1.909,2.261,0.351,1.274,"Fortier","9","Conventional","N-21-0-0",30,1,47.268,0.63065,0.0147,0.912342917
"143",406,"S","Rooibos tea",1.889,2.244,0.355,1.173,"Fortier","9","Conventional","N-21-0-0",30,2,50.581,1.1526,0.0609,0.902784583
"144",407,"S","Rooibos tea",1.92,2.282,0.363,NA,"Fortier","9","Conventional","N-21-0-0",30,2,NA,NA,NA,0.9176
"145",408,"S","Rooibos tea",1.913,2.275,0.362,1.278,"Fortier","9","Conventional","N-21-0-0",30,2,46.261,1.1354,0.0527,0.914254583
"146",409,"S","Rooibos tea",1.928,2.289,0.361,1.358,"Fortier","9","Conventional","N-21-0-0",45,1,45.117,0.7964,0.0278,0.921423333
"147",410,"S","Rooibos tea",1.925,2.284,0.36,1.338,"Fortier","9","Conventional","N-21-0-0",45,1,45.707,0.78982,0.0303,0.919989583
"148",411,"S","Rooibos tea",1.922,2.281,0.36,1.485,"Fortier","9","Conventional","N-21-0-0",45,1,41.814,0.91768,0.0406,0.918555833
"149",412,"S","Rooibos tea",1.92,2.283,0.363,1.424,"Fortier","9","Conventional","N-21-0-0",45,2,47.132,0.67525,0.0105,0.9176
"150",413,"S","Rooibos tea",1.902,2.26,0.357,1.538,"Fortier","9","Conventional","N-21-0-0",45,2,48.187,0.79626,0.0192,0.9089975
"151",414,"S","Rooibos tea",1.893,2.255,0.362,1.349,"Fortier","9","Conventional","N-21-0-0",45,2,45.592,0.91926,0.0329,0.90469625
"152",415,"S","Rooibos tea",1.911,2.279,0.367,1.266,"Fortier","9","Conventional","N-21-0-0",60,1,46.939,0.77745,0.0284,0.91329875
"153",416,"S","Rooibos tea",1.897,2.256,0.358,1.209,"Fortier","9","Conventional","N-21-0-0",60,1,47.576,0.93114,0.0386,0.906607917
"154",417,"S","Rooibos tea",1.918,2.279,0.362,1.299,"Fortier","9","Conventional","N-21-0-0",60,1,47.033,0.81894,0.0315,0.916644167
"155",418,"S","Rooibos tea",1.923,2.282,0.359,1.341,"Fortier","9","Conventional","N-21-0-0",60,2,47.994,0.82309,0.0328,0.91903375
"156",419,"S","Rooibos tea",1.913,2.27,0.357,1.279,"Fortier","9","Conventional","N-21-0-0",60,2,47.802,0.85905,0.0291,0.914254583
"157",420,"S","Rooibos tea",1.903,2.262,0.358,NA,"Fortier","9","Conventional","N-21-0-0",60,2,NA,NA,NA,0.909475417
"158",535,"S","Rooibos tea",1.889,2.248,0.36,1.298,"Fortier","45","Conventional","N-21-0-0",30,1,45.827,1.0734,0.0915,0.902784583
"159",536,"S","Rooibos tea",1.894,2.255,0.361,1.297,"Fortier","45","Conventional","N-21-0-0",30,1,45.185,0.95828,0.0883,0.905174167
