No;TypeThe;SorteThe;PoidsContenu_g;PoidsTotal _g;PoidsSac_g;Poids_Restant_g;Producteur;Champs;Regie;TypeAzote;DoseN;Repetition;Pourcentage_C;Pourcentage_N;Pourcentage_S
115;S;Rooibos;1,909;2,136;0,226;;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
116;S;Rooibos;1,911;2,14;0,227;1,61;Belanger;A9;Biologique;Nproducteur;68,71;2;46,611;0,74318;0,0213
117;S;Rooibos;1,898;2,123;0,226;;Belanger;A9;Biologique;Nproducteur;68,71;2;;;
118;S;Rooibos;1,905;2,135;0,23;1,509;Belanger;10;Conventionel;N;0;1;47,458;0,85638;0,026
119;S;Rooibos;1,904;2,129;0,225;1,364;Belanger;10;Conventionel;N;0;1;47,836;1,3244;0,0712
120;S;Rooibos;1,897;2,123;0,225;;Belanger;10;Conventionel;N;0;1;;;
121;S;Rooibos;1,892;2,12;0,228;1,402;Belanger;10;Conventionel;N;0;2;45,378;0,77073;0,0344
122;S;Rooibos;1,909;2,135;0,226;1,474;Belanger;10;Conventionel;N;0;2;46,663;0,84813;0,024
123;S;Rooibos;1,896;2,123;0,227;1,439;Belanger;10;Conventionel;N;0;2;49,898;0,9809;0,0464
124;S;Rooibos;1,898;2,124;0,226;1,366;Belanger;10;Conventionel;N;15;1;46,603;1,0737;0,053
125;S;Rooibos;1,91;2,136;0,227;;Belanger;10;Conventionel;N;15;1;47,75;1,0111;0,0521
126;S;Rooibos;1,905;2,13;0,226;1,525;Belanger;10;Conventionel;N;15;1;49,251;0,9424;0,0321
127;S;Rooibos;1,891;2,117;0,227;1,584;Belanger;10;Conventionel;N;15;2;48,413;0,92218;0,028
128;S;Rooibos;1,899;2,127;0,229;1,405;Belanger;10;Conventionel;N;15;2;49,605;1,1183;0,0352
129;S;Rooibos;1,89;2,117;0,228;1,496;Belanger;10;Conventionel;N;15;2;50,334;0,91735;0,0348
130;S;Rooibos;1,908;2,134;0,225;1,574;Belanger;10;Conventionel;N;30;1;49,238;0,85701;0,024
131;S;Rooibos;1,916;2,142;0,226;1,565;Belanger;10;Conventionel;N;30;1;47,384;1,009;0,0392
132;S;Rooibos;1,891;2,116;0,226;1,573;Belanger;10;Conventionel;N;30;1;50,184;0,85323;0,0354
133;S;Rooibos;1,906;2,132;0,225;1,446;Belanger;10;Conventionel;N;30;2;48,252;0,99285;0,0532
134;S;Rooibos;1,909;2,136;0,228;1,566;Belanger;10;Conventionel;N;30;2;49,42;1,1357;0,0442
135;S;Rooibos;1,906;2,132;0,227;1,54;Belanger;10;Conventionel;N;30;2;46,033;0,9933;0,0372
136;S;Rooibos;1,913;2,139;0,226;1,571;Belanger;10;Conventionel;N;45;1;46,488;0,9111;0,0319
137;S;Rooibos;1,92;2,148;0,228;1,534;Belanger;10;Conventionel;N;45;1;50,148;1,0239;0,0309
138;S;Rooibos;1,917;2,142;0,226;1,601;Belanger;10;Conventionel;N;45;1;45,778;0,86956;0,029
139;S;Rooibos;1,893;2,119;0,226;1,406;Belanger;10;Conventionel;N;45;2;48,147;1,0639;0,0567
140;S;Rooibos;1,893;2,117;0,225;1,349;Belanger;10;Conventionel;N;45;2;50,116;1,189;0,0509
141;S;Rooibos;1,901;2,127;0,226;1,5;Belanger;10;Conventionel;N;45;2;46,755;0,94695;0,0339
142;S;Rooibos;1,92;2,146;0,226;1,596;Belanger;10;Conventionel;N;60;1;46,96;0,93495;0,0358
143;S;Rooibos;1,906;2,132;0,226;1,473;Belanger;10;Conventionel;N;60;1;47,501;0,9949;0,0502
144;S;Rooibos;1,912;2,138;0,225;1,516;Belanger;10;Conventionel;N;60;1;49,119;1,0393;0,0401
145;S;Rooibos;1,915;2,14;0,226;1,49;Belanger;10;Conventionel;N;60;2;45,212;0,75637;0,0304
146;S;Rooibos;1,916;2,142;0,226;1,645;Belanger;10;Conventionel;N;60;2;46,862;0,87316;0,0246
147;S;Rooibos;1,89;2,116;0,226;1,524;Belanger;10;Conventionel;N;60;2;46,998;1,0677;0,0375
148;S;Rooibos;1,899;2,127;0,227;1,391;Belanger;10;Conventionel;N;45;2;47,002;1,0066;0,0566
149;S;Rooibos;1,912;2,139;0,227;1,446;Belanger;10;Conventionel;N;45;2;46,87;0,89954;0,0337
150;S;Rooibos;1,908;2,138;0,231;1,534;Belanger;10;Conventionel;N;60;2;47,358;0,97108;0,0429
151;S;Rooibos;1,919;2,145;0,226;1,615;Belanger;10;Conventionel;N;60;2;48,368;0,97371;0,034
152;S;Rooibos;1,903;2,129;0,226;1,598;Belanger;10;Conventionel;N;30;2;46,394;0,91746;0,0356
153;S;Rooibos;1,919;2,144;0,226;1,518;Belanger;10;Conventionel;N;30;2;46,134;0,99378;0,0341
625;G;GrenTea;1,781;2,141;0,36;0,633;Fortier;9;Conventionel;N;0;1;50,954;3,6076;0,221
626;G;GrenTea;1,772;2,135;0,364;0,608;Fortier;9;Conventionel;N;0;1;52,174;3,7355;0,238
627;G;GrenTea;1,78;2,144;0,363;0,623;Fortier;9;Conventionel;N;0;1;51,297;3,6973;0,236
628;G;GrenTea;1,787;2,15;0,363;0,687;Fortier;9;Conventionel;N;0;2;51,006;4,9237;0,273
629;G;GrenTea;1,769;2,137;0,368;0,703;Fortier;9;Conventionel;N;0;2;52,188;5,9643;0,313
630;G;GrenTea;1,791;2,151;0,36;0,637;Fortier;9;Conventionel;N;0;2;51,208;4,8411;0,291
631;G;GrenTea;1,767;2,128;0,361;0,593;Fortier;9;Conventionel;N;15;1;50,875;3,8465;0,251
632;G;GrenTea;1,783;2,145;0,362;0,62;Fortier;9;Conventionel;N;15;1;49,996;4,1287;0,264
633;G;GrenTea;1,765;2,126;0,361;;Fortier;9;Conventionel;N;15;1;;;
634;G;GrenTea;1,77;2,132;0,363;;Fortier;9;Conventionel;N;15;2;;;
635;G;GrenTea;1,784;2,148;0,364;0,645;Fortier;9;Conventionel;N;15;2;49,588;3,8118;0,245
636;G;GrenTea;1,756;2,118;0,363;0,587;Fortier;9;Conventionel;N;15;2;49,44;4,3575;0,28
637;G;GrenTea;1,785;2,152;0,365;0,702;Fortier;9;Conventionel;N;30;1;42,055;4,0556;0,232
638;G;GrenTea;1,778;2,144;0,366;0,582;Fortier;9;Conventionel;N;30;1;50,02;4,3624;0,272
639;G;GrenTea;1,8;2,161;0,361;0,669;Fortier;9;Conventionel;N;30;1;49,777;4,8316;0,272
640;G;GrenTea;1,796;2,154;0,357;0,784;Fortier;9;Conventionel;N;30;2;50,58;5,1024;0,285
641;G;GrenTea;1,754;2,117;0,363;0,629;Fortier;9;Conventionel;N;30;2;49,088;4,4936;0,272
642;G;GrenTea;1,751;2,111;0,36;0,592;Fortier;9;Conventionel;N;30;2;50,609;4,0937;0,259
643;G;GrenTea;1,789;2,148;0,359;0,682;Fortier;9;Conventionel;N;45;1;46,35;3,4626;0,222
644;G;GrenTea;1,759;2,121;0,361;0,572;Fortier;9;Conventionel;N;45;1;48,103;3,8768;0,243
645;G;GrenTea;1,759;2,131;0,371;0,579;Fortier;9;Conventionel;N;45;1;51,263;3,97;0,263
646;G;GrenTea;1,768;2,127;0,36;0,694;Fortier;9;Conventionel;N;45;2;49,448;4,7202;0,272
647;G;GrenTea;1,783;2,148;0,365;0,564;Fortier;9;Conventionel;N;45;2;50,994;4,0679;0,252
