Prélèvement;PertePoids
3;0.536582633
3;0.516526611
3;0.56356546
3;0.49142539
4;0.505835694
4;0.475264624
4;0.510169492
4;0.501003344
4;0.52141662
4;0.519499716
4;0.509698997
4;0.552881925
4;0.503504805
4;0.500780379
4;0.51919418
4;0.511167228
4;0.505958404
4;0.491446258
4;0.494668911
4;0.500894354
4;0.535626398
4;0.510117384
4;0.512611607
4;0.497605791
4;0.485634744
4;0.523378076
4;0.53161435
4;0.544980147
4;0.536806723
4;0.513611111
4;0.528498294
4;0.533258929
4;0.514084507
4;0.512910406
4;
4;0.525356125
4;0.5254891
4;0.511422172
4;0.514326484
4;0.514952752
4;0.548415787
4;0.511534091
